Invoice_ID,Invoice_Date,Site,Supplier,Category,Invoice_Amount_USD,Payment_Terms,Discount_Terms,Discount_Taken_Flag,Due_Date,Paid_Date,Supplier_Risk,Notes
INV900100,2024-01-05,DFW2,FlexiPack,Labels,13056.85,Net30,2/10 Net30,0,2024-02-04,2024-02-10,Med,
INV900101,2024-01-10,DFW2,PalletPrime,Strapping,3625.78,Net60,None,0,2024-03-10,2024-03-15,Low,
INV900102,2024-01-15,PHX1,PaperForge,Tape,30490.8,Net30,2/10 Net30,0,2024-02-14,2024-02-12,Low,Pilot
INV900103,2024-01-20,PHX1,PalletPrime,Strapping,13452.47,Net60,2/10 Net30,0,2024-03-20,2024-03-22,Med,
INV900104,2024-01-25,DFW2,FlexiPack,Strapping,3748.27,Net30,None,0,2024-02-24,2024-02-29,Low,
INV900105,2024-01-30,DFW2,BoxWorks,Corrugated,7796.77,Net45,2/10 Net30,0,2024-03-15,2024-03-14,Low,
INV900106,2024-02-04,PHX1,PolyWrap,VoidFill,3158.47,Net60,1/15 Net45,0,2024-04-04,2024-04-03,Med,
INV900107,2024-02-09,PHX1,BoxWorks,Corrugated,2839.15,Net30,1/15 Net45,0,2024-03-10,2024-03-23,Low,
INV900108,2024-02-14,DFW2,PalletPrime,Strapping,52658.69,Net30,None,0,2024-03-15,2024-03-14,Low,
INV900109,2024-02-19,ATL3,BoxWorks,Pallets,7467.65,Net45,None,0,2024-04-04,2024-04-05,Low,
INV900110,2024-02-24,ATL3,Ink&Label,Pallets,9925.63,Net60,None,0,2024-04-24,2024-04-25,High,
INV900111,2024-02-29,DFW2,FlexiPack,VoidFill,4768.55,Net30,None,0,2024-03-30,2024-04-04,High,
INV900112,2024-03-05,ATL3,PaperForge,Tape,10287.03,Net30,1/15 Net45,0,2024-04-04,2024-04-07,Low,
INV900113,2024-03-10,DFW2,FlexiPack,StretchFilm,4935.38,Net30,1/15 Net45,0,2024-04-09,2024-04-13,Low,
INV900114,2024-03-15,PHX1,PolyWrap,Labels,3209.75,Net30,None,0,2024-04-14,2024-04-13,Low,
INV900115,2024-03-20,DFW2,FlexiPack,Tape,6374.06,Net30,None,0,2024-04-19,2024-04-21,High,Noise: duplicate
INV900116,2024-03-25,DFW2,EdgeGuard,StretchFilm,17523.9,Net60,None,0,2024-05-24,2024-06-03,Low,
INV900117,2024-03-30,PHX1,Ink&Label,Pallets,12159.03,Net45,2/10 Net30,0,2024-05-14,2024-05-20,Low,
INV900118,2024-04-04,ATL3,Ink&Label,Strapping,3346.54,Net60,2/10 Net30,0,2024-06-03,2024-06-01,High,
INV900119,2024-04-09,DFW2,PolyWrap,Tape,7537.11,Net30,None,0,2024-05-09,2024-05-11,Low,
INV900120,2024-04-14,DFW2,FlexiPack,Corrugated,25935.32,Net30,None,0,2024-05-14,2024-05-14,Med,
INV900121,2024-04-19,DFW2,CartonCore,Tape,8382.25,Net45,2/10 Net30,0,2024-06-03,2024-06-06,Med,
INV900122,2024-04-24,DFW2,PaperForge,Tape,11736.17,Net60,None,0,2024-06-23,2024-07-01,High,
INV900123,2024-04-29,ATL3,CartonCore,Strapping,3489.05,Net45,1/15 Net45,0,2024-06-13,2024-06-11,Low,
INV900124,2024-05-04,PHX1,CartonCore,Pallets,15397.57,Net30,1/15 Net45,0,2024-06-03,2024-06-06,Low,
INV900125,2024-05-09,PHX1,FlexiPack,Pallets,15011.87,Net30,2/10 Net30,0,2024-06-08,2024-06-10,Med,
INV900126,2024-05-14,DFW2,StrapCo,Strapping,7346.29,Net30,2/10 Net30,0,2024-06-13,2024-06-17,Low,
INV900127,2024-05-19,PHX1,BoxWorks,Corrugated,13530.74,Net45,None,0,2024-07-03,2024-07-01,Low,
INV900128,2024-05-24,PHX1,PolyWrap,Labels,6801.67,Net30,None,0,2024-06-23,2024-06-29,Med,
INV900129,2024-05-29,ATL3,EdgeGuard,VoidFill,2441.49,Net30,1/15 Net45,0,2024-06-28,2024-07-04,Med,
INV900130,2024-06-03,DFW2,PaperForge,Pallets,11419.7,Net45,1/15 Net45,0,2024-07-18,2024-07-22,Low,
INV900131,2024-06-08,ATL3,PolyWrap,VoidFill,13105.4,Net30,None,0,2024-07-08,2024-07-08,Med,
INV900132,2024-06-13,DFW2,PaperForge,Corrugated,4549.85,Net30,2/10 Net30,0,2024-07-13,2024-07-17,High,Noise: duplicate
INV900133,2024-06-18,DFW2,EdgeGuard,Tape,5551.29,Net30,None,0,2024-07-18,2024-07-16,Low,
INV900134,2024-06-23,DFW2,Ink&Label,Labels,36091.4,Net60,None,0,2024-08-22,2024-08-20,Low,
INV900135,2024-06-28,PHX1,EdgeGuard,Strapping,8523.27,Net30,None,0,2024-07-28,2024-07-29,Med,
INV900136,2024-07-03,ATL3,CartonCore,Tape,9053.82,Net30,None,0,2024-08-02,2024-08-04,Low,Pilot
INV900137,2024-07-08,DFW2,TapeTown,StretchFilm,8804.52,Net30,None,0,2024-08-07,2024-08-09,Low,
INV900138,2024-07-13,DFW2,PalletPrime,VoidFill,12365.24,Net30,None,0,2024-08-12,2024-08-14,High,
INV900139,2024-07-18,DFW2,PalletPrime,Strapping,9926.09,Net30,1/15 Net45,0,2024-08-17,2024-08-19,Med,
INV900140,2024-07-23,PHX1,Ink&Label,StretchFilm,10627.46,Net30,1/15 Net45,0,2024-08-22,2024-08-22,Low,
INV900141,2024-07-28,PHX1,FlexiPack,Pallets,8312.08,Net30,None,0,2024-08-27,2024-09-05,Low,
INV900142,2024-08-02,PHX1,PaperForge,Strapping,5491.17,Net45,None,0,2024-09-16,2024-09-29,Low,
INV900143,2024-08-07,PHX1,FlexiPack,Corrugated,8019.33,Net30,2/10 Net30,0,2024-09-06,2024-09-11,Low,Pilot
INV900144,2024-08-12,PHX1,EdgeGuard,Labels,6806.44,Net30,2/10 Net30,0,2024-09-11,2024-09-17,Low,Pilot
INV900145,2024-08-17,DFW2,StrapCo,StretchFilm,10724.16,Net30,2/10 Net30,0,2024-09-16,2024-09-16,Med,
INV900146,2024-08-22,PHX1,PalletPrime,Strapping,8366.67,Net30,1/15 Net45,0,2024-09-21,2024-09-21,Med,
INV900147,2024-08-27,DFW2,BoxWorks,StretchFilm,5511.2,Net30,None,0,2024-09-26,2024-10-02,Low,
INV900148,2024-09-01,PHX1,PolyWrap,Strapping,12874.38,Net45,1/15 Net45,0,2024-10-16,2024-10-15,Low,
INV900149,2024-09-06,ATL3,CartonCore,Labels,9809.26,Net30,1/15 Net45,0,2024-10-06,2024-10-14,Low,
INV900150,2024-09-11,ATL3,BoxWorks,StretchFilm,18393.65,Net30,1/15 Net45,0,2024-10-11,2024-10-14,Low,
INV900151,2024-09-16,DFW2,CartonCore,Labels,6007.72,Net30,None,0,2024-10-16,2024-10-20,Med,
INV900152,2024-09-21,PHX1,TapeTown,StretchFilm,8099.69,Net45,2/10 Net30,0,2024-11-05,2024-11-05,Low,
INV900153,2024-09-26,PHX1,BoxWorks,Pallets,3023.4,Net30,1/15 Net45,0,2024-10-26,2024-10-31,Med,
INV900154,2024-10-01,ATL3,PaperForge,Corrugated,4607.61,Net45,None,0,2024-11-15,2024-11-15,High,
INV900155,2024-10-06,DFW2,TapeTown,StretchFilm,8457.47,Net45,None,0,2024-11-20,2024-11-19,Low,Noise: duplicate
INV900156,2024-10-11,PHX1,BoxWorks,Labels,4926.41,Net60,None,0,2024-12-10,2024-12-16,Med,
INV900157,2024-10-16,DFW2,StrapCo,Pallets,6989.83,Net45,2/10 Net30,0,2024-11-30,2024-11-29,High,
INV900158,2024-10-21,ATL3,Ink&Label,Labels,11891.22,Net45,None,0,2024-12-05,2024-12-05,Low,
INV900159,2024-10-26,DFW2,StrapCo,Pallets,2650.81,Net45,2/10 Net30,0,2024-12-10,2024-12-08,Low,
INV900160,2024-10-31,DFW2,FlexiPack,VoidFill,20790.34,Net30,2/10 Net30,0,2024-11-30,2024-12-05,Low,Noise: duplicate
