Line_ID,Plant,Supplier,Box_Grade,Qty_Units,Unit_Price_USD,Extended_Spend_USD,Notes
PKG001,DAL1,BoxCo_A,RSC_44ECT,81421,0.4731,38520.28,
PKG002,DAL1,FiberPack_B,RSC_44ECT,115748,0.341,39470.07,
PKG003,HOU2,CartonWorks_C,DieCut_48ECT,68049,0.4421,30084.46,
PKG004,DAL1,BoxCo_A,RSC_44ECT,94681,0.403,38156.44,Pilot
PKG005,DAL1,FiberPack_B,DieCut_48ECT,20000,0.394,7880.0,
PKG006,DAL1,CartonWorks_C,RSC_44ECT,111786,0.4242,47419.62,
PKG007,SAT3,BoxCo_A,RSC_44ECT,94967,0.4574,43437.91,Noise: sample
PKG008,SAT3,CartonWorks_C,RSC_32ECT,105112,0.3723,39133.2,
PKG009,HOU2,FiberPack_B,DieCut_48ECT,105704,0.4293,45378.73,Pilot
PKG010,HOU2,CartonWorks_C,RSC_44ECT,61055,0.3777,23060.47,
PKG011,DAL1,BoxCo_A,RSC_32ECT,95878,0.4046,38792.24,
PKG012,DAL1,BoxCo_A,RSC_44ECT,126259,0.4118,51993.46,
PKG013,HOU2,BoxCo_A,RSC_32ECT,89946,0.3446,30995.39,Noise: sample
PKG014,SAT3,CartonWorks_C,RSC_44ECT,48492,0.5497,26656.05,
PKG015,SAT3,FiberPack_B,DieCut_48ECT,101733,0.338,34385.75,
PKG016,DAL1,CartonWorks_C,RSC_44ECT,84466,0.4218,35627.76,
PKG017,DAL1,BoxCo_A,DieCut_48ECT,83119,0.2691,22367.32,
PKG018,DAL1,CartonWorks_C,RSC_44ECT,100877,0.3341,33703.01,
PKG019,SAT3,FiberPack_B,DieCut_48ECT,112945,0.4645,52462.95,
PKG020,DAL1,CartonWorks_C,RSC_44ECT,91001,0.473,43043.47,
PKG021,SAT3,FiberPack_B,DieCut_48ECT,64038,0.4506,28855.52,
PKG022,DAL1,FiberPack_B,RSC_32ECT,111788,0.416,46503.81,
PKG023,DAL1,CartonWorks_C,DieCut_48ECT,102791,0.4567,46944.65,Pilot
PKG024,SAT3,FiberPack_B,DieCut_48ECT,52572,0.5235,27521.44,
PKG025,HOU2,CartonWorks_C,RSC_32ECT,86778,0.5091,44178.68,
PKG026,DAL1,FiberPack_B,RSC_32ECT,80252,0.4847,38898.14,Pilot
PKG027,SAT3,CartonWorks_C,RSC_32ECT,55247,0.4237,23408.15,
PKG028,DAL1,BoxCo_A,DieCut_48ECT,98541,0.4106,40460.93,Pilot
PKG029,DAL1,FiberPack_B,RSC_32ECT,74064,0.3861,28596.11,
PKG030,DAL1,FiberPack_B,RSC_32ECT,91250,0.3524,32156.5,
PKG031,DAL1,FiberPack_B,DieCut_48ECT,89415,0.4539,40585.47,
PKG032,DAL1,FiberPack_B,DieCut_48ECT,60335,0.4467,26951.64,
PKG033,HOU2,BoxCo_A,RSC_32ECT,100469,0.5116,51399.94,
