Billing_Month,Site,Total_kWh,Peak_kW,On_Peak_Share,Temp_Setpoint_F,Shift_Pattern,Meter_ID,Utility_Account,Notes
2024-01,"PHX1 (Phoenix, AZ)",1354383,3039,0.459,73,3-shift,MTR-1490,UA-78727,
2024-02,"PHX1 (Phoenix, AZ)",1336145,3289,0.53,73,2-shift+wknd,MTR-1926,UA-78247,Meter swap
2024-03,"PHX1 (Phoenix, AZ)",1439164,3811,0.516,75,3-shift,MTR-1288,UA-71159,
2024-04,"PHX1 (Phoenix, AZ)",1480609,3409,0.494,74,2-shift+wknd,MTR-1508,UA-70861,
2024-05,"PHX1 (Phoenix, AZ)",1448819,3637,0.477,75,3-shift,MTR-1950,UA-75234,
2024-06,"PHX1 (Phoenix, AZ)",1435070,3516,0.553,73,2-shift,MTR-1885,UA-70917,
2024-07,"PHX1 (Phoenix, AZ)",1522484,3749,0.582,74,2-shift,MTR-1918,UA-71085,
2024-08,"PHX1 (Phoenix, AZ)",1645030,3319,0.533,72,2-shift+wknd,MTR-1329,UA-73976,
2024-09,"PHX1 (Phoenix, AZ)",1548494,3647,0.471,74,2-shift,MTR-1362,UA-78596,
2024-10,"PHX1 (Phoenix, AZ)",1464923,3597,0.5,75,3-shift,MTR-1189,UA-71803,
2024-11,"PHX1 (Phoenix, AZ)",1347862,3231,0.589,74,2-shift+wknd,MTR-1765,UA-79169,Pilot
2024-12,"PHX1 (Phoenix, AZ)",1362507,3196,0.551,72,2-shift,MTR-1095,UA-71960,Pilot
2024-01,"DFW2 (Dallas, TX)",1098734,2715,0.444,72,2-shift,MTR-1419,UA-74512,Pilot
2024-02,"DFW2 (Dallas, TX)",1163777,2789,0.547,73,2-shift+wknd,MTR-1669,UA-76365,
2024-03,"DFW2 (Dallas, TX)",1171219,2740,0.443,75,3-shift,MTR-1603,UA-78831,
2024-04,"DFW2 (Dallas, TX)",1206874,2699,0.484,74,3-shift,MTR-1071,UA-70158,
2024-05,"DFW2 (Dallas, TX)",1139741,3117,0.446,75,3-shift,MTR-1113,UA-73994,
2024-06,"DFW2 (Dallas, TX)",1082372,2845,0.475,75,2-shift+wknd,MTR-1322,UA-72674,
2024-07,"DFW2 (Dallas, TX)",1222306,3101,0.514,75,2-shift,MTR-1707,UA-71433,Meter swap
2024-08,"DFW2 (Dallas, TX)",1279816,3291,0.463,74,3-shift,MTR-1286,UA-76915,Meter swap
2024-09,"DFW2 (Dallas, TX)",1312992,2857,0.507,75,3-shift,MTR-1483,UA-77895,Meter swap
2024-10,"DFW2 (Dallas, TX)",1014245,2732,0.511,75,3-shift,MTR-1822,UA-75324,
2024-11,"DFW2 (Dallas, TX)",1235030,2829,0.445,73,2-shift+wknd,MTR-1327,UA-74688,
2024-12,"DFW2 (Dallas, TX)",1238477,3143,0.414,73,2-shift+wknd,MTR-1989,UA-75793,Meter swap
2024-01,"ATL3 (Atlanta, GA)",982378,2613,0.505,75,3-shift,MTR-1947,UA-76033,Pilot
2024-02,"ATL3 (Atlanta, GA)",902075,2578,0.494,72,2-shift+wknd,MTR-1640,UA-70210,
2024-03,"ATL3 (Atlanta, GA)",1005066,2754,0.527,72,3-shift,MTR-1868,UA-79557,
2024-04,"ATL3 (Atlanta, GA)",998526,2886,0.447,72,2-shift,MTR-1882,UA-73090,
2024-05,"ATL3 (Atlanta, GA)",1127349,2403,0.549,72,2-shift,MTR-1948,UA-70180,
2024-06,"ATL3 (Atlanta, GA)",964449,2708,0.528,74,2-shift,MTR-1879,UA-72550,
2024-07,"ATL3 (Atlanta, GA)",1039372,2837,0.454,72,2-shift,MTR-1467,UA-70650,
2024-08,"ATL3 (Atlanta, GA)",1046499,2731,0.498,73,2-shift+wknd,MTR-1233,UA-71847,
2024-09,"ATL3 (Atlanta, GA)",1047327,2723,0.603,72,2-shift+wknd,MTR-1511,UA-75068,
2024-10,"ATL3 (Atlanta, GA)",1066741,2627,0.491,72,2-shift,MTR-1509,UA-74759,Ops adj.
2024-11,"ATL3 (Atlanta, GA)",1020351,2659,0.467,74,2-shift+wknd,MTR-1131,UA-75447,
2024-12,"ATL3 (Atlanta, GA)",1109330,2655,0.454,75,3-shift,MTR-1769,UA-77370,
