Row_ID,Site,SKU,Avg_OnHand_Units,Unit_Cost_USD,Annual_Demand_Units,LeadTime_Days,ServiceLevel_Target,Notes
INV001,DAL1,SKU-001,1082,25.64,28891,21,0.98,
INV002,SAT3,SKU-002,663,60.44,27138,18,0.97,
INV003,SAT3,SKU-003,808,48.88,49587,28,0.97,
INV004,SAT3,SKU-004,528,35.42,29743,21,0.98,
INV005,SAT3,SKU-005,526,58.2,16740,28,0.95,
INV006,DAL1,SKU-006,1167,40.49,31764,21,0.98,
INV007,SAT3,SKU-007,1026,47.85,36504,35,0.98,
INV008,SAT3,SKU-008,837,42.99,32817,21,0.98,
INV009,HOU2,SKU-009,853,48.37,32049,28,0.97,Pilot
INV010,HOU2,SKU-010,726,40.88,41646,35,0.98,
INV011,HOU2,SKU-011,707,29.66,25942,21,0.97,
INV012,DAL1,SKU-012,1423,34.28,11500,12,0.97,
INV013,SAT3,SKU-013,999,34.29,44391,35,0.97,
INV014,DAL1,SKU-014,891,34.23,16453,35,0.95,
INV015,HOU2,SKU-015,628,47.71,22622,12,0.98,
INV016,DAL1,SKU-016,944,26.16,36956,28,0.98,
INV017,HOU2,SKU-017,1060,43.17,16610,35,0.97,Noise: obsolete SKU
INV018,HOU2,SKU-018,363,30.65,30899,21,0.98,
INV019,SAT3,SKU-019,544,69.48,45799,18,0.98,
INV020,HOU2,SKU-020,997,67.43,45976,21,0.98,
INV021,SAT3,SKU-021,1047,44.3,40163,35,0.95,
INV022,DAL1,SKU-022,691,47.57,25002,35,0.97,
INV023,SAT3,SKU-023,745,61.61,38633,35,0.98,
INV024,HOU2,SKU-024,369,54.45,33522,12,0.95,
INV025,HOU2,SKU-025,873,48.82,28923,18,0.98,
INV026,HOU2,SKU-026,524,50.5,49421,28,0.98,
INV027,DAL1,SKU-027,908,26.76,32866,18,0.98,
INV028,DAL1,SKU-028,1270,54.73,38112,21,0.97,
INV029,DAL1,SKU-029,599,33.99,41761,35,0.98,
INV030,HOU2,SKU-030,831,45.3,29602,21,0.98,
INV031,DAL1,SKU-031,617,50.57,35398,12,0.97,
INV032,SAT3,SKU-032,751,30.14,36276,28,0.98,Pilot
INV033,HOU2,SKU-033,1210,38.28,25576,21,0.95,
INV034,SAT3,SKU-034,902,15.1,37338,35,0.97,
INV035,DAL1,SKU-035,648,37.1,7490,18,0.95,
INV036,DAL1,SKU-036,1033,52.22,25925,28,0.98,
INV037,SAT3,SKU-037,998,39.29,30397,28,0.98,Pilot
INV038,SAT3,SKU-038,941,48.0,29555,35,0.98,
INV039,HOU2,SKU-039,792,60.08,35124,18,0.98,Noise: obsolete SKU
INV040,HOU2,SKU-040,810,57.88,35488,28,0.95,Pilot
