Invoice_Line_ID,Ship_Date,Carrier,Service,Zone,Billable_Weight_lb,Base_Charge_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Charge_USD,Package_Type,Customer_Segment,CSR_Ticket_ID,Notes
IL500000,2024-01-03,RoadHaul,Ground,5,22.6,26792.11,4826.95,None,0.0,31619.07,POLY,B2B,T17419,
IL500001,2024-01-06,SwiftLane,Ground,2,32.8,27652.61,4644.56,Residential,7680.67,39977.84,POLY,B2B,T11592,
IL500002,2024-01-09,RoadHaul,Ground,8,22.7,31527.52,6778.47,None,0.0,38305.99,BOX,Marketplace,T10557,
IL500003,2024-01-12,SwiftLane,Ground,5,3.0,22192.22,2246.64,None,0.0,24438.86,TOTE,Marketplace,T12115,
IL500004,2024-01-15,MesaLine Carriers,Ground,2,22.6,19238.79,2427.72,None,0.0,21666.51,BOX,B2B,T15993,
IL500005,2024-01-18,BlueStar Freight,Ground,7,21.7,32509.98,4107.39,None,0.0,36617.37,POLY,B2C,T15321,
IL500006,2024-01-21,SwiftLane,Ground,4,17.3,26770.22,2660.65,None,0.0,29430.87,POLY,Marketplace,T19910,
IL500007,2024-01-24,RoadHaul,Ground,7,18.4,30623.82,6464.52,None,0.0,37088.34,TOTE,B2C,T19744,
IL500008,2024-01-27,BlueStar Freight,Ground,2,7.7,17661.03,2801.52,None,0.0,20462.55,TOTE,B2C,T12276,
IL500009,2024-01-30,BlueStar Freight,Ground,6,3.3,22718.36,2732.92,Residential,6068.19,31519.48,BOX,B2B,T19688,
IL500010,2024-02-02,MesaLine Carriers,Ground,5,21.9,30624.26,4892.07,None,0.0,35516.33,BOX,Marketplace,T19889,
IL500011,2024-02-05,MesaLine Carriers,Ground,6,13.8,29856.49,4375.55,Residential,7527.58,41759.63,TOTE,B2C,T13510,
IL500012,2024-02-08,MesaLine Carriers,Ground,7,21.7,30278.53,3731.28,None,0.0,34009.81,POLY,Marketplace,T10383,Dispute
IL500013,2024-02-11,RoadHaul,Ground,5,20.0,29275.1,3524.79,None,0.0,32799.89,TOTE,B2C,T19389,
IL500014,2024-02-14,MesaLine Carriers,2Day,5,7.7,39049.21,6132.31,Inside_Delivery,39966.92,85148.44,TOTE,Marketplace,T11792,
IL500015,2024-02-17,MesaLine Carriers,Ground,6,18.8,29157.92,6208.7,None,0.0,35366.62,BOX,B2B,T15184,
