Invoice_Month,Invoice_ID,Warehouse,Carrier,Service_Level,Zone,Billable_Weight_lb,Dim_Weight_lb,Base_Charge_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Charge_USD,On_Time_Flag,Shipment_ID,Notes,CSR_Ticket_Tag,GL_Code
2024-01,INV90001,ATL3,ShipSwift Ground,2Day,7,1.99,2.35,18048.0,2028.0,None,0.0,20076.0,1,PKG9000175,,RMA,541200
2024-01,INV90002,ATL3,ParcelPro,Ground,7,6.2,10.37,16308.0,2604.0,None,0.0,18912.0,1,PKG9000250,,,722100
2024-01,INV90003,DFW2,ShipSwift Ground,Ground,2,5.96,5.96,10392.0,1296.0,None,0.0,11688.0,1,PKG9000396,,AddressFix,611000
2024-01,INV90004,ATL3,ParcelPro,2Day,7,1.24,1.24,17544.0,2448.0,None,0.0,19992.0,1,PKG9000429,Pilot,,541200
2024-01,INV90005,ATL3,ShipSwift Ground,NextDay,7,1.34,1.34,24192.0,4548.0,Remote Area,4680.0,33420.0,1,PKG9000584,Ops adj.,Claim,722100
2024-01,INV90006,DFW2,RapidDoor,Ground,6,1.17,1.49,11484.0,2028.0,None,0.0,13512.0,1,PKG9000616,,Claim,541200
2024-01,INV90007,PHX1,ShipSwift Ground,Ground,7,8.35,12.69,17364.0,3192.0,None,0.0,20556.0,1,PKG9000732,,Claim,512300
2024-01,INV90008,PHX1,RapidDoor,Ground,4,3.15,3.15,10680.0,2004.0,Oversize,9084.0,21768.0,1,PKG9000872,,,722100
2024-01,INV90009,DFW2,ParcelPro,Ground,5,2.92,2.92,11352.0,1656.0,None,0.0,13008.0,1,PKG9000926,,,541200
2024-02,INV90010,DFW2,ShipSwift Ground,Ground,5,4.08,4.08,11880.0,2040.0,None,0.0,13920.0,1,PKG9001041,Pilot,,512300
2024-02,INV90011,PHX1,ParcelPro,Ground,6,1.77,1.77,11604.0,1404.0,Additional Handling,4428.0,17436.0,1,PKG9001177,,,722100
2024-02,INV90012,DFW2,RapidDoor,2Day,3,2.72,4.7,16008.0,2964.0,None,0.0,18972.0,1,PKG9001290,,Claim,541200
2024-02,INV90013,PHX1,ShipSwift Ground,Ground,7,1.57,1.57,12300.0,1680.0,None,0.0,13980.0,1,PKG9001331,,,611000
2024-02,INV90014,PHX1,ShipSwift Ground,Ground,5,4.19,7.14,13272.0,1884.0,None,0.0,15156.0,1,PKG9001489,,,722100
2024-02,INV90015,DFW2,ParcelPro,Ground,7,1.78,1.78,12396.0,1392.0,None,0.0,13788.0,1,PKG9001532,,Claim,611000
2024-02,INV90016,PHX1,RapidDoor,Ground,5,3.66,3.66,11688.0,1644.0,None,0.0,13332.0,1,PKG9001648,Promo,RMA,541200
2024-02,INV90017,PHX1,ParcelPro,2Day,7,5.38,5.38,19428.0,2580.0,Additional Handling,6636.0,28644.0,1,PKG9001783,,AddressFix,541200
2024-02,INV90018,DFW2,RapidDoor,Ground,5,2.82,2.82,11304.0,1776.0,None,0.0,13080.0,1,PKG9001832,Ops adj.,RMA,611000
2024-03,INV90019,DFW2,ShipSwift Ground,Ground,5,4.73,4.73,12180.0,1860.0,None,0.0,14040.0,1,PKG9001978,,RMA,611000
2024-03,INV90020,ATL3,ShipSwift Ground,Ground,3,1.54,1.54,9168.0,1524.0,Residential,5256.0,15948.0,1,PKG9002085,,,722100
