Shipment_ID,Ship_Date,Origin_DC,Dest_City,Dest_State,Mode,Service_Level,Miles,Linehaul_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Cost_USD,On_Time_Flag,Planner_ID,Trailer_Type,Lane_Tag,Notes,Noise_GL
T500000,2024-01-03,NJ1,CHI,IL,TL,Expedite,790,32527.99,4866.99,Inside Delivery,2410.75,39805.73,1,PL-13,Reefer,Promo,,5412
T500001,2024-01-06,TX2,PHX,AZ,TL,Standard,880,35793.38,5792.21,Inside Delivery,5158.05,46743.64,1,PL-19,DryVan,Core,,6110
T500002,2024-01-09,TX2,HOU,TX,TL,Standard,240,8450.08,1287.57,None,0.0,9737.65,1,PL-24,DryVan,Core,,5123
T500003,2024-01-12,TX2,PHX,AZ,TL,Standard,880,36819.63,6002.68,Detention,4503.59,47325.9,1,PL-30,DryVan,Core,,5412
T500004,2024-01-15,NJ1,ATL,GA,TL,Expedite,860,41371.7,6292.91,None,0.0,47664.61,1,PL-15,DryVan,Promo,,5412
T500005,2024-01-18,TX2,HOU,TX,TL,Standard,240,9547.33,1343.27,None,0.0,10890.6,1,PL-33,DryVan,Surge,,7221
T500006,2024-01-21,TX2,DEN,CO,TL,Standard,650,26645.24,3687.46,None,0.0,30332.69,1,PL-26,Reefer,Surge,,6110
T500007,2024-01-24,TX2,DEN,CO,TL,Standard,650,27360.56,5086.73,None,0.0,32447.29,1,PL-18,DryVan,Surge,,5412
T500008,2024-01-27,TX2,DEN,CO,TL,Standard,650,28516.95,5309.28,None,0.0,33826.23,1,PL-17,Reefer,Surge,,5412
T500009,2024-01-30,TX2,HOU,TX,TL,Standard,240,9562.68,1749.28,None,0.0,11311.95,1,PL-18,DryVan,Core,,7221
T500010,2024-02-02,TX2,PHX,AZ,TL,Standard,880,40744.55,7287.88,None,0.0,48032.43,1,PL-27,Reefer,Core,,5412
T500011,2024-02-05,NJ1,ATL,GA,TL,Standard,860,31987.85,5477.77,None,0.0,37465.62,1,PL-17,DryVan,Core,Pilot,5123
T500012,2024-02-08,TX2,PHX,AZ,TL,Standard,880,40772.66,7240.66,Inside Delivery,2019.26,50032.58,1,PL-19,DryVan,Promo,,7221
T500013,2024-02-11,TX2,PHX,AZ,TL,Standard,880,30438.32,6981.01,None,0.0,37419.32,1,PL-15,Reefer,Core,Pilot,6110
