Shipment_ID,Ship_Date,Origin_Site,Dest_Site,Mode,Carrier,Miles,Weight_lbs,Linehaul_USD,Fuel_Surcharge_USD,Accessorial_Type,Accessorial_USD,Total_Cost_USD,On_Time_Flag,Planner,Notes
S410000,2024-01-03,DFW2,PHX1,LTL,RoadRidge,444,9283,783.11,133.66,None,0,916.77,1,PL-29,
S410001,2024-01-05,ATL3,CLT,LTL,MetroFreight,746,8887,1284.84,219.65,None,0,1504.49,1,PL-39,
S410002,2024-01-07,PHX1,SLC,TL,RoadRidge,591,27026,1211.55,206.92,Detention,80,1498.47,1,PL-24,
S410003,2024-01-09,PHX1,LAX,TL,MetroFreight,599,20833,1252.51,229.79,None,0,1482.3,1,PL-34,
S410004,2024-01-11,DFW2,PHX1,TL,BlueHaul,80,26405,157.44,27.4,Liftgate,35,219.84,1,PL-28,
S410005,2024-01-13,PHX1,SLC,TL,SwiftLine,1030,26796,2217.08,384.73,None,0,2601.81,1,PL-32,
S410006,2024-01-15,DFW2,PHX1,TL,SwiftLine,670,26564,1442.17,255.15,None,0,1697.33,1,PL-31,Pilot
S410007,2024-01-17,ATL3,DFW2,TL,RoadRidge,404,28838,828.2,147.67,None,0,975.87,1,PL-33,
S410008,2024-01-19,PHX1,LAX,LTL,MetroFreight,246,5007,238.71,44.44,Inside,55,338.15,1,PL-24,
S410009,2024-01-21,DFW2,HOU,TL,RoadRidge,766,23482,1570.3,261.71,None,0,1832.01,1,PL-22,
S410010,2024-01-23,ATL3,CLT,LTL,SwiftLine,478,14126,1347.07,229.51,None,0,1576.58,1,PL-37,
S410011,2024-01-25,ATL3,CLT,TL,SwiftLine,686,24616,1476.62,252.0,None,0,1728.61,1,PL-34,
S410012,2024-01-27,DFW2,HOU,LTL,BlueHaul,550,8829,885.73,159.31,None,0,1045.03,1,PL-35,
S410013,2024-01-29,PHX1,LAX,TL,SwiftLine,732,19160,1575.63,267.33,None,0,1842.96,1,PL-22,
S410014,2024-01-31,ATL3,DFW2,TL,MetroFreight,716,26317,1497.16,246.65,None,0,1743.81,1,PL-36,
S410015,2024-02-02,ATL3,CLT,TL,MetroFreight,1019,27834,2130.73,364.17,None,0,2494.9,1,PL-39,Noise: test invoice
S410016,2024-02-04,DFW2,DEN,TL,BlueHaul,631,25576,1241.81,210.45,None,0,1452.25,1,PL-35,
S410017,2024-02-06,DFW2,HOU,LTL,RoadRidge,807,10849,1663.48,284.07,Liftgate,35,1982.55,1,PL-26,Pilot
S410018,2024-02-08,DFW2,PHX1,TL,MetroFreight,861,26721,1800.35,303.2,Inside,55,2158.55,1,PL-29,
S410019,2024-02-10,ATL3,CLT,TL,RoadRidge,524,24381,1074.2,177.96,None,0,1252.16,1,PL-32,Pilot
S410020,2024-02-12,ATL3,MCO,LTL,RoadRidge,537,11002,1122.53,198.46,Detention,80,1401.0,1,PL-38,
S410021,2024-02-14,DFW2,PHX1,LTL,MetroFreight,540,10748,1124.8,199.14,None,0,1323.94,1,PL-33,
S410022,2024-02-16,ATL3,DFW2,TL,MetroFreight,932,24627,1948.81,351.85,None,0,2300.66,1,PL-24,
S410023,2024-02-18,DFW2,DEN,LTL,RoadRidge,410,11646,907.22,162.01,None,0,1069.23,1,PL-35,
S410024,2024-02-20,ATL3,MCO,TL,SwiftLine,752,21599,1618.68,292.46,None,0,1911.14,1,PL-24,Pilot
S410025,2024-02-22,DFW2,DEN,TL,MetroFreight,669,25359,1398.88,240.51,None,0,1639.39,1,PL-27,
S410026,2024-02-24,PHX1,SLC,TL,RoadRidge,484,24252,992.2,173.79,None,0,1165.99,1,PL-37,
S410027,2024-02-26,PHX1,LAX,LTL,RoadRidge,533,4193,424.63,72.73,None,0,497.36,1,PL-39,Pilot
S410028,2024-02-28,ATL3,DFW2,TL,MetroFreight,797,20967,1666.53,282.17,Liftgate,35,1983.7,1,PL-21,Claim
S410029,2024-03-01,PHX1,LAX,TL,SwiftLine,645,20262,1388.36,256.55,None,0,1644.91,1,PL-24,Pilot
S410030,2024-03-03,ATL3,DFW2,TL,RoadRidge,886,25110,1816.3,324.45,Detention,80,2220.75,1,PL-24,Noise: test invoice
S410031,2024-03-05,PHX1,SLC,TL,RoadRidge,970,27836,1988.5,343.9,None,0,2332.4,1,PL-32,
S410032,2024-03-07,PHX1,SLC,TL,RoadRidge,369,20478,756.45,134.32,Liftgate,35,925.77,1,PL-29,
S410033,2024-03-09,DFW2,HOU,LTL,BlueHaul,759,11057,1530.75,276.86,Inside,55,1862.61,1,PL-32,
S410034,2024-03-11,DFW2,DEN,LTL,SwiftLine,734,10346,1515.0,247.5,Detention,80,1842.49,1,PL-29,
S410035,2024-03-13,DFW2,HOU,TL,SwiftLine,744,22058,1601.46,275.13,None,0,1876.59,1,PL-33,
