Site,Week_Ending,Avg_Stored_Pallets,Order_Lines_Picked,Outbound_Cartons,Regular_Labor_Hours,Overtime_Labor_Hours,Fill_Rate_pct,Notes
PHX1,2024-01-07,13139,75852,55897,1238.98,103.88,98.68,
PHX1,2024-01-14,13008,70413,55876,1185.63,88.69,98.87,
PHX1,2024-01-21,11736,72771,63271,1317.31,101.41,99.34,Pilot
PHX1,2024-01-28,13713,82586,64288,1359.16,156.52,97.92,
PHX1,2024-02-04,12879,84102,50496,1201.95,99.5,98.93,
PHX1,2024-02-11,12736,74987,61479,1307.75,70.42,98.5,
PHX1,2024-02-18,12694,74905,58509,1266.0,130.11,99.28,
PHX1,2024-02-25,11976,69745,55617,1166.89,120.19,98.63,
PHX1,2024-03-03,12194,64644,54883,1052.74,128.24,99.65,
PHX1,2024-03-10,12204,76516,57756,1221.82,128.61,97.51,
PHX1,2024-03-17,12102,77330,62564,1204.47,154.34,99.0,
PHX1,2024-03-24,12232,77803,53609,1249.88,102.36,97.8,Pilot
PHX1,2024-03-31,11885,71937,56743,1190.26,91.93,97.85,
PHX1,2024-04-07,12835,85521,58034,1317.61,136.75,98.38,
PHX1,2024-04-14,13377,80651,56043,1262.19,110.85,99.33,
PHX1,2024-04-21,12398,73374,61761,1244.57,112.2,99.25,
PHX1,2024-04-28,12312,76647,62991,1287.53,148.6,98.84,
PHX1,2024-05-05,13576,80525,60336,1245.52,164.87,98.59,
PHX1,2024-05-12,13055,77879,54613,1214.76,79.32,98.26,
PHX1,2024-05-19,12527,70442,60550,1238.47,95.16,98.9,
PHX1,2024-05-26,13637,80035,50045,1239.37,135.09,97.81,Noise: reclass
PHX1,2024-06-02,12351,87053,64364,1437.03,100.43,97.96,
PHX1,2024-06-09,13633,79803,56100,1300.82,80.15,97.32,
PHX1,2024-06-16,13440,73654,54959,1212.33,82.49,99.17,
PHX1,2024-06-23,12849,80618,52909,1262.34,111.84,98.01,
PHX1,2024-06-30,12639,82359,53054,1288.85,95.71,98.13,
PHX1,2024-07-07,13515,78819,50816,1221.92,128.91,98.51,
PHX1,2024-07-14,13793,74103,57581,1224.03,128.49,97.66,
