agent_id,date,region_type,visits,unique_customers,repeat_visits,working_time_min,travel_time_min,case_id
A1,2025-01-01,Urban,18,13,5,480,200,C001
A2,2025-01-01,Rural,22,13,9,480,260,C002
A3,2025-01-01,Rural,24,14,10,480,275,C003
A4,2025-01-01,Urban,16,13,3,480,180,C004
A5,2025-01-01,Rural,21,12,9,480,270,C005
A6,2025-01-01,Urban,17,14,3,480,190,C006
A7,2025-01-01,Rural,23,13,10,480,280,C007
A8,2025-01-01,Urban,15,12,3,480,170,C008
A9,2025-01-01,Rural,25,15,10,480,285,C009
A10,2025-01-01,Urban,16,13,3,480,185,C010
A11,2025-01-02,Urban,19,14,5,480,210,C011
A12,2025-01-02,Rural,23,13,10,480,275,C012
A13,2025-01-02,Rural,24,14,10,480,280,C013
A14,2025-01-02,Urban,17,14,3,480,190,C014
A15,2025-01-02,Rural,22,13,9,480,265,C015
A16,2025-01-02,Urban,18,15,3,480,195,C016
A17,2025-01-02,Rural,24,14,10,480,285,C017
A18,2025-01-02,Urban,16,13,3,480,180,C018
A19,2025-01-02,Rural,25,15,10,480,290,C019
A20,2025-01-02,Urban,17,14,3,480,185,C020
A21,2025-01-03,Urban,18,13,5,480,200,C021
A22,2025-01-03,Rural,22,13,9,480,270,C022
A23,2025-01-03,Rural,24,14,10,480,280,C023
A24,2025-01-03,Urban,16,13,3,480,180,C024
A25,2025-01-03,Rural,23,13,10,480,275,C025
A26,2025-01-03,Urban,17,14,3,480,190,C026
A27,2025-01-03,Rural,25,15,10,480,290,C027
A28,2025-01-03,Urban,15,12,3,480,175,C028
A29,2025-01-03,Rural,26,15,11,480,295,C029
A30,2025-01-03,Urban,16,13,3,480,185,C030
A31,2025-01-04,Urban,19,14,5,480,210,C031
A32,2025-01-04,Rural,23,13,10,480,275,C032
A33,2025-01-04,Rural,24,14,10,480,280,C033
A34,2025-01-04,Urban,17,14,3,480,190,C034
A35,2025-01-04,Rural,22,13,9,480,270,C035
A36,2025-01-04,Urban,18,15,3,480,195,C036
A37,2025-01-04,Rural,25,15,10,480,290,C037
A38,2025-01-04,Urban,16,13,3,480,180,C038
A39,2025-01-04,Rural,26,15,11,480,295,C039
A40,2025-01-04,Urban,17,14,3,480,185,C040
