City,City Tier,Urban Households,Avg Annual BPC Spend Per HH(INR),Retail SqFt Available,Offline Retail Density Index,Competitor Store Count,Target EBO Store Count,Avg Lease Rate PSF INR,MBO Partner Count,Avg Commute Time (Min)
Mumbai,Tier-1,580000,8400,4200,92,38,8,185,22,52
Delhi,Tier-1,620000,8400,5100,95,42,9,210,25,58
Bangalore,Tier-1,520000,8400,3800,88,31,7,165,18,46
Chennai,Tier-1,390000,8400,2900,82,24,5,130,14,38
Hyderabad,Tier-1,415000,8400,3100,85,27,6,145,16,42
Pune,Tier-1,335000,8400,2400,79,19,5,120,12,35
Ahmedabad,Tier-1,290000,8400,2100,74,16,4,105,10,30
Kolkata,Tier-1,360000,8400,2700,80,22,5,115,13,40
Jaipur,Tier-2,240000,8400,1800,65,12,3,88,8,25
Lucknow,Tier-2,215000,8400,1600,61,10,3,82,7,23
Indore,Tier-2,182000,8400,1400,57,9,2,75,6,21
Nagpur,Tier-2,166000,8400,1300,54,8,2,70,5,20
Surat,Tier-2,198000,8400,1500,60,10,3,79,7,22
Coimbatore,Tier-2,151000,8400,1100,50,7,2,65,5,19
Kochi,Tier-2,138000,8400,1050,48,6,2,62,4,18
Chandigarh,Tier-2,125000,8400,980,45,6,2,58,4,17
Bhopal,Tier-2,158000,8400,1200,52,8,2,68,5,20
Vadodara,Tier-2,157000,8400,820,40,5,1,52,3,16
