City,Premium HH,Avg Annual Premium QSR Spend (INR),Mall Count,Avg Monthly Footfall,Delivery Zone Coverage Pct,Competitor Outlet Count,Target Outlet Count Estimate,Avg Lease Rate PSF (INR),Avg Commute (Min),Weekend Dwell Time (Min)
Mumbai,420000,4200,142,61200,0.88,34,312,18500,24,52
Delhi,395000,4200,118,57400,0.82,41,284,16200,31,58
Bengaluru,340000,4200,134,49800,0.91,28,261,17800,22,46
Hyderabad,275000,4200,96,41200,0.79,23,198,14600,19,42
Chennai,240000,4200,88,36800,0.74,19,172,13200,16,38
Pune,220000,4200,77,34100,0.71,17,158,12400,14,44
Kolkata,195000,4200,69,29600,0.66,21,141,11800,18,55
Ahmedabad,180000,4200,61,27200,0.63,15,128,10900,12,39
Jaipur,145000,4200,48,21800,0.58,11,103,9400,9,41
Lucknow,130000,4200,42,19400,0.54,9,92,8800,8,47
Chandigarh,160000,4200,54,23600,0.62,13,114,10200,11,36
Kochi,140000,4200,46,20800,0.57,10,98,9100,9,43
