Week,Site,Service_Level_%,AHT_Min,FCR_%,Cost_Per_Call_INR,Agent_Utilization_%,NPS,Abandonment_Rate_%,Call_Volume
W1,Mumbai,79,6.7,72,47,77,72,4.6,124000
W2,Mumbai,78,6.8,71,48,76,71,4.8,131000
W3,Mumbai,77,6.9,70,49,75,70,5.1,129000
W4,Mumbai,76,7,69,50,74,69,5.3,134000
W5,Mumbai,78,6.8,71,48,76,71,4.7,128000
W6,Mumbai,79,6.6,73,46,78,73,4.4,122000
W1,Delhi,77,6.9,70,49,74,69,5.2,118000
W2,Delhi,76,7.1,68,51,73,68,5.6,125000
W3,Delhi,75,7.2,67,52,72,67,5.8,123000
W4,Delhi,77,6.9,70,49,75,70,5,119000
W5,Delhi,78,6.7,72,47,76,72,4.6,117000
W6,Delhi,76,7,69,50,74,69,5.4,126000
W1,Bangalore,80,6.5,73,45,79,74,4.2,98000
W2,Bangalore,79,6.6,72,46,78,73,4.4,102000
W3,Bangalore,78,6.7,71,47,77,72,4.6,101000
W4,Bangalore,80,6.4,74,44,80,75,4,97000
W5,Bangalore,81,6.3,75,43,81,76,3.8,95000
W6,Bangalore,79,6.5,73,45,79,74,4.2,99000
W1,Hyderabad,74,7.3,66,53,71,65,6.2,87000
W2,Hyderabad,73,7.4,65,54,70,64,6.4,91000
W3,Hyderabad,75,7.1,67,51,72,66,5.8,88000
W4,Hyderabad,74,7.2,66,52,71,65,6,90000
W5,Hyderabad,76,6.9,68,50,73,67,5.4,86000
W6,Hyderabad,75,7,67,51,72,66,5.6,89000
W1,Chennai,76,6.9,69,49,75,70,5,92000
W2,Chennai,75,7,68,50,74,69,5.2,95000
W3,Chennai,77,6.8,70,48,76,71,4.8,93000
W4,Chennai,76,6.9,69,49,75,70,5,94000
W5,Chennai,78,6.7,71,47,77,72,4.6,91000
W6,Chennai,77,6.8,70,48,76,71,4.8,93000
W1,Pune,73,7.5,64,55,69,63,6.8,78000
W2,Pune,72,7.6,63,56,68,62,7,81000
W3,Pune,74,7.3,65,53,70,64,6.4,79000
W4,Pune,73,7.4,64,54,69,63,6.6,80000
W5,Pune,75,7.1,66,52,71,65,6,77000
W6,Pune,74,7.2,65,53,70,64,6.2,79000
W1,Ahmedabad,75,7.1,67,51,72,66,5.8,84000
W2,Ahmedabad,74,7.2,66,52,71,65,6,87000
W3,Ahmedabad,76,6.9,68,50,73,67,5.4,85000
W4,Ahmedabad,75,7,67,51,72,66,5.6,86000
W5,Ahmedabad,77,6.8,69,49,74,68,5.2,83000
W6,Ahmedabad,76,6.9,68,50,73,67,5.4,85000
W1,Kolkata,72,7.7,62,57,68,61,7.4,71000
W2,Kolkata,71,7.8,61,58,67,60,7.6,74000
W3,Kolkata,73,7.5,63,55,69,62,6.8,72000
W4,Kolkata,72,7.6,62,56,68,61,7,73000
W5,Kolkata,74,7.3,64,54,70,63,6.4,70000
W6,Kolkata,73,7.4,63,55,69,62,6.6,71000
