Week,Dark_Store,Utilization_%,Avg_Orders_Per_Day,Cancellation_Rate_%,Top_SKU_Stockout_Rate_%,City,Tier
W1,DS-Mumbai-03,78%,1240,6.80%,4.20%,Mumbai,Metro
W2,DS-Mumbai-03,72%,1210,9.10%,10.90%,Mumbai,Metro
W3,DS-Mumbai-03,65%,1090,12.80%,18.70%,Mumbai,Metro
W4,DS-Mumbai-03,62%,1040,15.30%,24.20%,Mumbai,Metro
W5,DS-Mumbai-03,60%,1000,16.40%,26.80%,Mumbai,Metro
W6,DS-Mumbai-03,57%,950,18.20%,29.10%,Mumbai,Metro
W1,DS-Delhi-07,76%,1180,7.10%,3.90%,Delhi,Metro
W2,DS-Delhi-07,70%,1140,9.90%,12.60%,Delhi,Metro
W3,DS-Delhi-07,64%,1070,14.20%,20.80%,Delhi,Metro
W4,DS-Delhi-07,60%,990,16.80%,25.70%,Delhi,Metro
W5,DS-Delhi-07,56%,940,18.90%,29.40%,Delhi,Metro
W6,DS-Delhi-07,52%,880,21.70%,33.80%,Delhi,Metro
W1,DS-Bangalore-02,74%,1150,7.40%,5.10%,Bangalore,Metro
W2,DS-Bangalore-02,69%,1100,10.60%,13.90%,Bangalore,Metro
W3,DS-Bangalore-02,62%,1020,14.90%,21.90%,Bangalore,Metro
W4,DS-Bangalore-02,58%,960,17.60%,27.80%,Bangalore,Metro
W5,DS-Bangalore-02,55%,910,19.70%,30.60%,Bangalore,Metro
W6,DS-Bangalore-02,51%,860,22.60%,35.40%,Bangalore,Metro
W1,DS-Hyderabad-05,72%,980,8.20%,6.80%,Hyderabad,Tier-1
W2,DS-Hyderabad-05,66%,940,11.40%,15.70%,Hyderabad,Tier-1
W3,DS-Hyderabad-05,59%,870,15.80%,24.60%,Hyderabad,Tier-1
W4,DS-Hyderabad-05,54%,810,19.10%,30.80%,Hyderabad,Tier-1
W5,DS-Hyderabad-05,50%,760,22.40%,35.20%,Hyderabad,Tier-1
W6,DS-Hyderabad-05,46%,690,26.10%,41.20%,Hyderabad,Tier-1
W1,DS-Pune-04,71%,890,8.70%,7.40%,Pune,Tier-1
W2,DS-Pune-04,65%,850,12.10%,16.90%,Pune,Tier-1
W3,DS-Pune-04,58%,790,16.60%,26.10%,Pune,Tier-1
W4,DS-Pune-04,53%,730,20.20%,32.90%,Pune,Tier-1
W5,DS-Pune-04,49%,680,23.80%,37.60%,Pune,Tier-1
W6,DS-Pune-04,44%,610,28.30%,44.70%,Pune,Tier-1
W1,DS-Chennai-08,69%,920,9.10%,8.90%,Chennai,Tier-1
W2,DS-Chennai-08,63%,880,12.90%,18.30%,Chennai,Tier-1
W3,DS-Chennai-08,56%,820,17.40%,27.50%,Chennai,Tier-1
W4,DS-Chennai-08,51%,760,21.60%,34.70%,Chennai,Tier-1
W5,DS-Chennai-08,47%,700,25.90%,40.80%,Chennai,Tier-1
W6,DS-Chennai-08,42%,630,30.40%,48.30%,Chennai,Tier-1
W1,DS-Ahmedabad-06,67%,810,9.80%,10.20%,Ahmedabad,Tier-1
W2,DS-Ahmedabad-06,61%,770,14.10%,20.40%,Ahmedabad,Tier-1
W3,DS-Ahmedabad-06,54%,710,18.90%,30.70%,Ahmedabad,Tier-1
W4,DS-Ahmedabad-06,49%,650,23.60%,37.90%,Ahmedabad,Tier-1
W5,DS-Ahmedabad-06,45%,600,27.40%,43.80%,Ahmedabad,Tier-1
W6,DS-Ahmedabad-06,40%,530,33.10%,52.80%,Ahmedabad,Tier-1
W1,DS-Kolkata-09,65%,780,10.40%,11.70%,Kolkata,Tier-1
W2,DS-Kolkata-09,59%,740,15.20%,22.80%,Kolkata,Tier-1
W3,DS-Kolkata-09,52%,680,20.70%,33.90%,Kolkata,Tier-1
W4,DS-Kolkata-09,47%,620,25.90%,41.80%,Kolkata,Tier-1
W5,DS-Kolkata-09,43%,570,30.70%,48.90%,Kolkata,Tier-1
W6,DS-Kolkata-09,38%,500,36.40%,57.20%,Kolkata,Tier-1
W1,DS-Jaipur-11,63%,690,11.20%,13.40%,Jaipur,Tier-2
W2,DS-Jaipur-11,57%,650,16.30%,25.90%,Jaipur,Tier-2
W3,DS-Jaipur-11,50%,590,22.10%,36.80%,Jaipur,Tier-2
W4,DS-Jaipur-11,45%,530,27.90%,45.90%,Jaipur,Tier-2
W5,DS-Jaipur-11,41%,480,33.60%,53.20%,Jaipur,Tier-2
W6,DS-Jaipur-11,36%,410,40.70%,63.90%,Jaipur,Tier-2
