agent_id,region_type,travel_time_min,productive_time_min
A1,Urban,200,280
A2,Rural,260,220
A3,Rural,275,205
A4,Urban,180,300
A5,Rural,270,210
A6,Urban,190,290
A7,Rural,280,200
A8,Urban,175,305
A9,Rural,285,195
A10,Urban,185,295
A11,Urban,210,270
A12,Rural,275,205
A13,Rural,280,200
A14,Urban,190,290
A15,Rural,265,215
A16,Urban,195,285
A17,Rural,285,195
A18,Urban,180,300
A19,Rural,290,190
A20,Urban,185,295
A21,Urban,200,280
A22,Rural,270,210
A23,Rural,280,200
A24,Urban,180,300
A25,Rural,275,205
A26,Urban,190,290
A27,Rural,290,190
A28,Urban,175,305
A29,Rural,295,185
A30,Urban,185,295
A31,Urban,210,270
A32,Rural,275,205
A33,Rural,280,200
A34,Urban,190,290
A35,Rural,270,210
A36,Urban,195,285
A37,Rural,290,190
A38,Urban,180,300
A39,Rural,295,185
A40,Urban,185,295
