"Route_ID,Origin_Node,Destination_Node,Max_Capacity,Reported_Flow,Overflow_Flow"
"R001,H1,R1,10000,9200,1800"
"R002,H1,R2,8000,6100,400"
"R003,H1,R3,9000,8700,900"
"R004,H2,R4,11000,10200,1500"
"R005,H2,R5,7000,4200,200"
"R006,H2,R6,8500,7900,800"
"R007,H3,R7,9500,8800,1200"
"R008,H3,R8,7500,4300,300"
"R009,H3,R9,10000,9100,1400"
"R010,H1,R10,8500,5200,300"
"R011,H2,R11,9000,8600,1100"
"R012,H3,R12,8000,4700,200"
"R013,H1,R13,9500,8900,1300"
"R014,H2,R14,7800,4500,300"
"R015,H3,R15,9200,8700,1200"
"R016,H1,R16,8800,5400,400"
"R017,H2,R17,8600,8200,900"
"R018,H3,R18,9400,8800,1100"
"R019,H1,R19,7600,4300,200"
"R020,H2,R20,9000,8500,1200"
