Order_ID,Date,Dark_Store,Cancellation_Reason,Reported_Resolution_Time_Min,Reopened_Flag,Final_Cancellation_Flag,SKU_Category
ORD-784291,2026-01-12,DS-Mumbai-03,Inventory Mismatch,47,Yes,Yes,Groceries
ORD-784312,2026-01-12,DS-Delhi-07,Delivery Slot Unavailable,62,No,Yes,Snacks
ORD-784355,2026-01-12,DS-Bangalore-02,Customer Change of Mind,18,No,No,Personal Care
ORD-784389,2026-01-12,DS-Hyderabad-05,Inventory Mismatch,39,Yes,Yes,Beverages
ORD-784412,2026-01-13,DS-Mumbai-03,App Technical Issue,71,No,Yes,Household
ORD-784467,2026-01-13,DS-Delhi-07,Inventory Mismatch,54,Yes,Yes,Groceries
ORD-784501,2026-01-13,DS-Bangalore-02,Delivery Slot Unavailable,48,No,Yes,Snacks
ORD-784539,2026-01-13,DS-Hyderabad-05,Customer Change of Mind,22,No,No,Personal Care
ORD-784582,2026-01-14,DS-Mumbai-03,Inventory Mismatch,61,Yes,Yes,Groceries
ORD-784619,2026-01-14,DS-Delhi-07,App Technical Issue,55,No,Yes,Household
ORD-784651,2026-01-14,DS-Bangalore-02,Inventory Mismatch,43,Yes,Yes,Snacks
ORD-784698,2026-01-14,DS-Hyderabad-05,Delivery Slot Unavailable,67,No,Yes,Beverages
ORD-784732,2026-01-15,DS-Mumbai-03,Customer Change of Mind,19,No,No,Groceries
ORD-784765,2026-01-15,DS-Delhi-07,Inventory Mismatch,58,Yes,Yes,Personal Care
ORD-784801,2026-01-15,DS-Bangalore-02,Other,49,No,Yes,Household
ORD-784839,2026-01-15,DS-Hyderabad-05,Inventory Mismatch,52,Yes,Yes,Snacks
ORD-784872,2026-01-16,DS-Mumbai-03,Delivery Slot Unavailable,73,No,Yes,Groceries
ORD-784905,2026-01-16,DS-Delhi-07,Inventory Mismatch,46,Yes,Yes,Beverages
ORD-784941,2026-01-16,DS-Bangalore-02,Customer Change of Mind,24,No,No,Personal Care
ORD-784978,2026-01-16,DS-Hyderabad-05,Inventory Mismatch,55,Yes,Yes,Household
ORD-785012,2026-01-17,DS-Mumbai-03,App Technical Issue,68,No,Yes,Snacks
ORD-785049,2026-01-17,DS-Delhi-07,Inventory Mismatch,41,Yes,Yes,Groceries
ORD-785083,2026-01-17,DS-Bangalore-02,Delivery Slot Unavailable,59,No,Yes,Beverages
ORD-785121,2026-01-17,DS-Hyderabad-05,Inventory Mismatch,63,Yes,Yes,Personal Care
ORD-785156,2026-01-18,DS-Mumbai-03,Customer Change of Mind,21,No,No,Household
ORD-785192,2026-01-18,DS-Delhi-07,Inventory Mismatch,57,Yes,Yes,Snacks
ORD-785227,2026-01-18,DS-Bangalore-02,App Technical Issue,52,No,Yes,Groceries
ORD-785264,2026-01-18,DS-Hyderabad-05,Inventory Mismatch,48,Yes,Yes,Beverages
ORD-785301,2026-01-19,DS-Mumbai-03,Delivery Slot Unavailable,66,No,Yes,Personal Care
ORD-785337,2026-01-19,DS-Delhi-07,Inventory Mismatch,44,Yes,Yes,Household
ORD-785372,2026-01-19,DS-Bangalore-02,Customer Change of Mind,23,No,No,Snacks
ORD-785409,2026-01-19,DS-Hyderabad-05,Inventory Mismatch,59,Yes,Yes,Groceries
ORD-785446,2026-01-20,DS-Mumbai-03,Other,74,No,Yes,Beverages
ORD-785482,2026-01-20,DS-Delhi-07,Inventory Mismatch,51,Yes,Yes,Personal Care
ORD-785517,2026-01-20,DS-Bangalore-02,Delivery Slot Unavailable,61,No,Yes,Household
ORD-785553,2026-01-20,DS-Hyderabad-05,Inventory Mismatch,46,Yes,Yes,Snacks
ORD-785589,2026-01-21,DS-Mumbai-03,Customer Change of Mind,20,No,No,Groceries
ORD-785626,2026-01-21,DS-Delhi-07,Inventory Mismatch,55,Yes,Yes,Beverages
ORD-785661,2026-01-21,DS-Bangalore-02,App Technical Issue,47,No,Yes,Personal Care
ORD-785698,2026-01-21,DS-Hyderabad-05,Delivery Slot Unavailable,69,No,Yes,Household
ORD-785734,2026-01-22,DS-Mumbai-03,Inventory Mismatch,53,Yes,Yes,Snacks
ORD-785771,2026-01-22,DS-Delhi-07,Customer Change of Mind,25,No,No,Groceries
ORD-785807,2026-01-22,DS-Bangalore-02,Inventory Mismatch,49,Yes,Yes,Beverages
ORD-785844,2026-01-22,DS-Hyderabad-05,Other,58,No,Yes,Personal Care
ORD-785880,2026-01-23,DS-Mumbai-03,Delivery Slot Unavailable,64,No,Yes,Household
ORD-785917,2026-01-23,DS-Delhi-07,Inventory Mismatch,42,Yes,Yes,Snacks
ORD-785953,2026-01-23,DS-Bangalore-02,Customer Change of Mind,22,No,No,Groceries
ORD-785990,2026-01-23,DS-Hyderabad-05,Inventory Mismatch,56,Yes,Yes,Beverages
ORD-786027,2026-01-24,DS-Mumbai-03,App Technical Issue,71,No,Yes,Personal Care
ORD-786063,2026-01-24,DS-Delhi-07,Inventory Mismatch,47,Yes,Yes,Household
ORD-786099,2026-01-24,DS-Bangalore-02,Delivery Slot Unavailable,65,No,Yes,Snacks
ORD-786136,2026-01-24,DS-Hyderabad-05,Inventory Mismatch,50,Yes,Yes,Groceries
