Date,Line_ID,Planned_Production_Time_min,Unplanned_Downtime_min,Ideal_Cycle_Time_sec,Total_Units_Produced,Good_Units,Supervisor_Name,Humidity_Percent,Internal_Tag
2025-01-01,Line_1,1440,115,45,1810,1720,Supervisor_1,56,TAG1
2025-01-01,Line_2,1440,298,50,1408,1268,Supervisor_2,56,TAG1
2025-01-01,Line_3,1440,94,48,1662,1592,Supervisor_3,56,TAG1
2025-01-02,Line_1,1440,120,45,1820,1730,Supervisor_1,57,TAG2
2025-01-02,Line_2,1440,306,50,1416,1276,Supervisor_2,57,TAG2
2025-01-02,Line_3,1440,98,48,1674,1604,Supervisor_3,57,TAG2
2025-01-03,Line_1,1440,125,45,1830,1740,Supervisor_1,58,TAG3
2025-01-03,Line_2,1440,314,50,1424,1284,Supervisor_2,58,TAG3
2025-01-03,Line_3,1440,102,48,1686,1616,Supervisor_3,58,TAG3
2025-01-04,Line_1,1440,130,45,1840,1750,Supervisor_1,59,TAG4
2025-01-04,Line_2,1440,322,50,1432,1292,Supervisor_2,59,TAG4
2025-01-04,Line_3,1440,106,48,1698,1628,Supervisor_3,59,TAG4
2025-01-05,Line_1,1440,110,45,1800,1710,Supervisor_1,55,TAG5
2025-01-05,Line_2,1440,290,50,1400,1260,Supervisor_2,55,TAG5
2025-01-05,Line_3,1440,90,48,1650,1580,Supervisor_3,55,TAG5
2025-01-06,Line_1,1440,115,45,1810,1720,Supervisor_1,56,TAG6
2025-01-06,Line_2,1440,298,50,1408,1268,Supervisor_2,56,TAG6
2025-01-06,Line_3,1440,94,48,1662,1592,Supervisor_3,56,TAG6
2025-01-07,Line_1,1440,120,45,1820,1730,Supervisor_1,57,TAG7
2025-01-07,Line_2,1440,306,50,1416,1276,Supervisor_2,57,TAG7
2025-01-07,Line_3,1440,98,48,1674,1604,Supervisor_3,57,TAG7
