Date,Line_ID,Material_Input_kg,Material_Waste_kg,Rework_Units,Operator_ID,Shift,Temperature_C,Remark_Code
2025-01-01,Line_1,9100,465,75,OP11,B,31,N1
2025-01-01,Line_2,9100,820,75,OP11,B,31,N1
2025-01-01,Line_3,9100,465,75,OP11,B,31,N1
2025-01-02,Line_1,9200,480,80,OP12,C,32,N2
2025-01-02,Line_2,9200,840,80,OP12,C,32,N2
2025-01-02,Line_3,9200,480,80,OP12,C,32,N2
2025-01-03,Line_1,9300,495,85,OP13,A,33,N3
2025-01-03,Line_2,9300,860,85,OP13,A,33,N3
2025-01-03,Line_3,9300,495,85,OP13,A,33,N3
2025-01-04,Line_1,9400,510,90,OP14,B,34,N4
2025-01-04,Line_2,9400,880,90,OP14,B,34,N4
2025-01-04,Line_3,9400,510,90,OP14,B,34,N4
2025-01-05,Line_1,9000,450,70,OP15,C,30,N5
2025-01-05,Line_2,9000,800,70,OP15,C,30,N5
2025-01-05,Line_3,9000,450,70,OP15,C,30,N5
2025-01-06,Line_1,9100,465,75,OP16,A,31,N6
2025-01-06,Line_2,9100,820,75,OP16,A,31,N6
2025-01-06,Line_3,9100,465,75,OP16,A,31,N6
2025-01-07,Line_1,9200,480,80,OP17,B,32,N7
2025-01-07,Line_2,9200,840,80,OP17,B,32,N7
2025-01-07,Line_3,9200,480,80,OP17,B,32,N7
