case_id,recovered_flag,recovery_amount,loan_value
C001,1,5000,20000
C002,0,0,15000
C003,1,7000,30000
C004,1,6000,25000
C005,0,0,12000
C006,1,8000,32000
C007,0,0,18000
C008,1,5500,22000
C009,0,0,17000
C010,1,6200,26000
C011,1,5100,21000
C012,0,0,14000
C013,1,7200,31000
C014,1,6100,26000
C015,0,0,13000
C016,1,8100,33000
C017,0,0,19000
C018,1,5600,23000
C019,0,0,18000
C020,1,6300,27000
C021,1,5200,22000
C022,0,0,15000
C023,1,7400,32000
C024,1,6200,26000
C025,0,0,13000
C026,1,8200,34000
C027,0,0,20000
C028,1,5700,24000
C029,0,0,19000
C030,1,6400,28000
C031,1,5300,23000
C032,0,0,16000
C033,1,7500,33000
C034,1,6300,27000
C035,0,0,14000
C036,1,8300,35000
C037,0,0,21000
C038,1,5800,25000
C039,0,0,20000
C040,1,6500,29000
