Zone,Total Rider Hours,Idle Time %,Overtime_Hrs,Training_Days,Absenteeism_%,Shift_Type,Supervisor_Notes,Utilization_Label,Efficiency_Score,Weekly_Variation_%
Z1,960,5,12,2,3,Day,High load during peak hours,Overloaded,92,-3
Z2,880,12,8,1,4,Mixed,Moderate idle during afternoon,Balanced,90,1
Z3,1120,4,15,3,2.8,Day,Consistent backlog across slots,Overloaded,94,-4
Z4,760,15,5,2,5.2,Mixed,Idle riders available in multiple slots,Underutilized,88,3
Z5,1040,6,10,1,3.6,Day,Near full capacity during peak,Near Capacity,92,-1
Z6,840,20,3,4,6,Night,Significant idle capacity observed,Underutilized,87,5
Z7,900,10,9,2,4,Mixed,Stable operations across shifts,Balanced,91,0
Z8,870,13,7,1,3.8,Night,Moderate idle in late evening,Underutilized,89,2
Z9,1080,5,14,3,2.9,Day,Heavy backlog and delays,Overloaded,93,-3
Z10,800,16,4,2,5.3,Mixed,Consistent underutilization,Underutilized,88,4
Z11,890,11,11,1,4.1,Mixed,Stable with slight fluctuations,Balanced,91,1
Z12,860,14,6,3,3.7,Night,Idle capacity across zones,Underutilized,89,3
Festive_Projection,125000,NA,NA,NA,NA,NA,Projected surge in rider demand,NA,NA,NA
Z1_Noise1,955,5.2,45,2,3.1,Day,High load during peak hours,Overloaded,91,-2
Z2_Noise1,875,12.1,38,1,4.2,Mixed,Moderate idle observed,Balanced,90,1
Z3_Noise1,1115,4.3,52,3,2.8,Day,Backlog across slots,Overloaded,93,-3
Z4_Noise1,755,15.4,28,2,5.1,Mixed,Idle riders available,Underutilized,88,3
Z5_Noise1,1035,6.2,41,1,3.5,Day,Near capacity during peak,Near Capacity,92,-1
Z6_Noise1,835,20.3,22,4,6.2,Night,Significant idle capacity,Underutilized,87,4
Z7_Noise1,895,10.1,35,2,4,Mixed,Stable operations,Balanced,91,0
Z8_Noise1,865,13.2,33,1,3.8,Night,Moderate idle in evening,Underutilized,89,2
Z9_Noise1,1075,5.4,48,3,2.9,Day,Heavy backlog,Overloaded,93,-2
Z10_Noise1,795,16.5,25,2,5.3,Mixed,Underutilized across shifts,Underutilized,88,4
Z11_Noise1,885,11.3,37,1,4.1,Mixed,Stable performance,Balanced,91,1
Z12_Noise1,855,14.2,31,3,3.7,Night,Idle capacity observed,Underutilized,89,3
Z1_Noise2,965,5.1,42,2,3,Day,Consistent peak pressure,Overloaded,92,-2
Z2_Noise2,885,12,39,1,4.3,Mixed,Idle in mid-day slots,Balanced,90,1
Z3_Noise2,1125,4.1,50,3,2.7,Day,Sustained backlog,Overloaded,94,-3
Z4_Noise2,765,15.2,30,2,5,Mixed,Idle capacity persists,Underutilized,88,3
Z5_Noise2,1045,6.1,40,1,3.6,Day,Near saturation,Near Capacity,92,-1
Z6_Noise2,845,20.1,23,4,6.1,Night,High idle consistently,Underutilized,87,4
Z7_Noise2,905,10.2,36,2,4.1,Mixed,Stable operations,Balanced,91,0
Z8_Noise2,875,13.1,34,1,3.9,Night,Evening idle observed,Underutilized,89,2
Z9_Noise2,1085,5.3,47,3,2.8,Day,High backlog,Overloaded,93,-2
Z10_Noise2,805,16.4,26,2,5.2,Mixed,Underutilized,Underutilized,88,4
Z11_Noise2,895,11.2,38,1,4,Mixed,Consistent performance,Balanced,91,1
Z12_Noise2,865,14.1,32,3,3.6,Night,Idle capacity across slots,Underutilized,89,3
Z13_Dummy,620,18.5,15,0,7.2,Mixed,Non-core zone,Underutilized,85,2
Z14_Dummy,480,22.3,10,1,8.1,Night,Test operations zone,Underutilized,83,3
Z15_Dummy,710,9.8,28,2,4.5,Day,Stable dummy operations,Balanced,90,0
Z16_Dummy,390,25.1,8,0,9.3,Night,High idle dummy zone,Underutilized,82,4
Z17_Dummy,550,14.7,19,1,5.8,Mixed,Partial utilization,Underutilized,86,2
