"Route_ID,Origin_Warehouse,Destination_Distributor,Distance_Km,Cases_Transported,Freight_Cost,Return_Empty_Km,Vehicle_Capacity"
"R001,W1,D101,120,420,21000,120,700"
"R002,W1,D102,80,300,16500,80,700"
"R003,W1,D103,150,500,26000,150,700"
"R004,W2,D104,60,250,15000,60,700"
"R005,W2,D105,200,520,31000,200,700"
"R006,W2,D106,90,310,17500,90,700"
"R007,W3,D107,140,480,25500,140,700"
"R008,W3,D108,70,260,15500,70,700"
"R009,W3,D109,160,510,27000,160,700"
"R010,W4,D110,100,350,20000,100,700"
"R011,W4,D111,180,540,29500,180,700"
"R012,W4,D112,75,280,16000,75,700"
"R013,W5,D113,130,460,24500,130,700"
"R014,W5,D114,85,300,17000,85,700"
"R015,W5,D115,170,530,28500,170,700"
"R016,W6,D116,110,390,21000,110,700"
"R017,W6,D117,95,320,18000,95,700"
"R018,W6,D118,190,550,30500,190,700"
"R019,W1,D119,65,240,15000,65,700"
"R020,W2,D120,155,500,26500,155,700"
"R021,W3,D121,105,360,20500,105,700"
"R022,W4,D122,175,520,29000,175,700"
"R023,W5,D123,90,310,17500,90,700"
"R024,W6,D124,145,470,25000,145,700"
"R025,W1,D125,60,230,14500,60,700"
"R026,W2,D126,185,540,30000,185,700"
"R027,W3,D127,75,260,15500,75,700"
"R028,W4,D128,165,510,27500,165,700"
"R029,W5,D129,95,300,17000,95,700"
"R030,W6,D130,135,450,24000,135,700"
