"Month,Total_kWh,Production_Units,Rejected_Units,Furnace_kWh,Compressor_kWh,Machining_kWh,Prototype_Line_kWh,Idle_kWh,HVAC_kWh,Peak_Demand_kVA,Shift_Overlap_Minutes,Maintenance_Flag,Energy_Intensity_Internal"
"Jan-23,3280000,11800,420,1220000,620000,810000,210000,95000,140000,4980,42,No,2780"
"Feb-23,3150000,11350,380,1160000,605000,790000,195000,88000,135000,4720,35,No,2775"
"Mar-23,3420000,12100,460,1290000,640000,850000,220000,102000,150000,5095,58,No,2826"
"Apr-23,3365000,11920,410,1255000,630000,830000,215000,99000,145000,4870,38,Yes,2824"
"May-23,3510000,12400,500,1320000,655000,880000,235000,110000,160000,5120,61,No,2831"
"Jun-23,3470000,12350,470,1300000,648000,865000,228000,108000,158000,5065,55,No,2810"
"Jul-23,3600000,12700,520,1345000,670000,910000,240000,115000,165000,5180,72,No,2835"
"Aug-23,3545000,12520,480,1320000,662000,895000,232000,112000,162000,5025,60,Yes,2832"
"Sep-23,3380000,11900,430,1240000,625000,840000,218000,100000,150000,4890,44,No,2840"
"Oct-23,3455000,12200,455,1275000,640000,860000,225000,104000,152000,4975,50,No,2832"
"Nov-23,3300000,11700,390,1200000,615000,820000,205000,97000,148000,4810,36,No,2820"
"Dec-23,3520000,12450,510,1310000,660000,885000,238000,113000,160000,5145,68,No,2828"
"Jan-24,3400000,12050,435,1260000,635000,855000,220000,101000,149000,4905,46,No,2821"
"Feb-24,3220000,11480,370,1185000,610000,800000,200000,93000,138000,4745,32,No,2805"
"Mar-24,3580000,12600,540,1340000,675000,905000,245000,118000,168000,5205,74,No,2841"
"Apr-24,3480000,12320,460,1295000,655000,870000,230000,110000,160000,5030,57,Yes,2825"
"May-24,3625000,12800,550,1360000,685000,920000,250000,120000,172000,5230,79,No,2832"
"Jun-24,3550000,12580,500,1325000,670000,890000,240000,115000,165000,5090,63,No,2823"
"Jul-24,3690000,13050,580,1380000,700000,940000,260000,125000,175000,5285,85,No,2828"
"Aug-24,3615000,12870,520,1350000,690000,925000,252000,122000,170000,5175,70,Yes,2810"
"Sep-24,3440000,12150,450,1265000,650000,860000,225000,105000,152000,4940,48,No,2832"
"Oct-24,3505000,12400,480,1290000,665000,880000,235000,110000,158000,5015,53,No,2827"
"Nov-24,3360000,11880,410,1220000,630000,840000,210000,98000,145000,4865,40,No,2830"
"Dec-24,3650000,12900,590,1375000,695000,930000,255000,122000,172000,5245,82,No,2830"
