"Batch_ID,Total_Dies_Produced,Passed_Test_Dies,Reworked_Dies,Latent_Defect_Dies,Scrap_Dies"
"B001,10000,8940,320,210,530"
"B002,10200,9120,350,230,500"
"B003,9800,8740,300,190,560"
"B004,10150,9050,340,220,540"
"B005,9950,8850,310,200,550"
"B006,10300,9200,360,240,500"
"B007,9700,8650,290,180,580"
"B008,10400,9300,370,250,480"
"B009,9900,8800,300,200,600"
"B010,10050,8950,320,210,580"
"B011,10250,9150,350,230,520"
"B012,9850,8750,300,190,610"
"B013,10100,9000,330,210,560"
"B014,9950,8850,310,200,590"
"B015,10350,9250,370,250,480"
"B016,9800,8700,290,180,630"
"B017,10000,8900,320,210,570"
"B018,10200,9100,350,230,520"
"B019,9900,8800,300,200,600"
"B020,10150,9050,340,220,540"
