Zone,Orders Assigned,Deliveries Completed,Riders,Cost per Rider,Failed Delivery %,Marketing_Campaign_ID,NPS_Noise,Reported_Productivity,Zone_Efficiency_%,Previous_Week_Noise,Promo_Banner_Used,App_Ad_Clicks,Discount_Code_Used
Z1,12000,11400,120,900,12,CAMP-001,71,95,92,11320,Yes,320,YES10
Z2,9500,9200,110,920,10,CAMP-002,74,84,90,9100,No,280,NA
Z3,15000,14800,140,880,15,CAMP-003,68,105,94,14720,Yes,410,FEST15
Z4,8000,7900,95,910,8,CAMP-004,73,83,89,7800,No,250,NA
Z5,13500,13200,130,890,14,CAMP-005,69,101,93,13100,Yes,360,SAVE20
Z6,7500,7400,105,930,6,CAMP-006,75,70,88,7350,No,210,NA
Z7,11000,10800,115,905,11,CAMP-007,72,94,91,10750,Yes,300,YES10
Z8,9800,9600,108,915,9,CAMP-008,70,89,90,9500,No,275,NA
Z9,14000,13800,135,885,13,CAMP-009,74,102,93,13720,Yes,390,FEST15
Z10,8700,8600,100,920,7,CAMP-010,71,86,89,8500,No,260,NA
Z11,10200,10000,112,910,10,CAMP-011,73,89,91,9950,Yes,295,YES10
Z12,9100,8900,107,925,9,CAMP-012,72,83,88,8800,No,240,NA
Festive_Projection,160375,NA,NA,NA,NA,CAMP-FEST,NA,NA,NA,NA,NA,NA,NA
Z1_Prev,11850,11280,120,905,11.5,CAMP-013,70,94,91,11150,Yes,310,YES10
Z2_Prev,9600,9300,110,918,9.8,CAMP-014,73,85,90,9200,No,285,NA
Z3_Prev,14920,14700,140,882,14.5,CAMP-015,67,105,93,14600,Yes,405,SAVE20
Z4_Prev,7950,7850,95,912,8.2,CAMP-016,72,83,89,7750,No,245,NA
Z5_Prev,13420,13150,130,888,14.1,CAMP-017,68,101,92,13050,Yes,350,YES10
Z6_Prev,7420,7320,105,928,6.5,CAMP-018,74,70,88,7250,No,205,NA
Z7_Prev,10950,10750,115,907,11.2,CAMP-019,71,93,91,10650,Yes,295,FEST15
Z8_Prev,9750,9550,108,913,9.3,CAMP-020,69,88,90,9450,No,270,NA
Z1_Noise1,11720,11150,120,902,12.3,CAMP-N1,69,93,91,11020,Yes,320,YES10
Z2_Noise1,9450,9150,110,919,10.1,CAMP-N2,72,83,90,9050,No,280,NA
Z3_Noise1,15100,14850,140,879,15.2,CAMP-N3,66,106,94,14720,Yes,410,FEST15
Z4_Noise1,8100,8000,95,908,8.1,CAMP-N4,74,84,89,7900,No,250,NA
Z5_Noise1,13650,13380,130,892,14.3,CAMP-N5,70,103,93,13250,Yes,360,SAVE20
Z6_Noise1,7600,7500,105,931,6.2,CAMP-N6,73,71,88,7420,No,210,NA
Z7_Noise1,11150,10950,115,904,11.4,CAMP-N7,71,95,91,10850,Yes,300,YES10
Z8_Noise1,9900,9700,108,917,9.4,CAMP-N8,68,90,90,9600,No,275,NA
Z9_Noise1,14150,13950,135,886,13.1,CAMP-N9,75,103,93,13850,Yes,390,FEST15
Z10_Noise1,8800,8700,100,921,7.3,CAMP-N10,70,87,89,8600,No,260,NA
Z11_Noise1,10350,10150,112,909,10.2,CAMP-N11,72,91,91,10050,Yes,295,YES10
Z12_Noise1,9200,9000,107,924,9.1,CAMP-N12,71,84,88,8900,No,240,NA
Z1_Noise2,11980,11420,120,901,12.4,CAMP-N13,70,95,92,11300,Yes,330,FEST15
Z2_Noise2,9550,9250,110,921,9.9,CAMP-N14,73,84,90,9150,No,290,NA
Z3_Noise2,14980,14780,140,881,14.8,CAMP-N15,67,106,94,14650,Yes,405,SAVE20
Z4_Noise2,8050,7950,95,911,8.4,CAMP-N16,74,84,89,7850,No,255,NA
Z5_Noise2,13580,13300,130,889,14.2,CAMP-N17,69,102,93,13180,Yes,355,YES10
Z6_Noise2,7550,7450,105,929,6.3,CAMP-N18,75,71,88,7370,No,215,NA
Z7_Noise2,11080,10880,115,906,11.3,CAMP-N19,72,95,91,10780,Yes,310,FEST15
Z8_Noise2,9850,9650,108,914,9.2,CAMP-N20,70,89,90,9550,No,270,NA
Z9_Noise2,14080,13880,135,884,13.2,CAMP-N21,74,103,93,13780,Yes,385,SAVE20
Z10_Noise2,8750,8650,100,919,7.1,CAMP-N22,71,86,89,8550,No,265,NA
Z11_Noise2,10280,10080,112,912,10.3,CAMP-N23,73,90,91,9980,Yes,300,YES10
Z12_Noise2,9150,8950,107,923,9.2,CAMP-N24,72,84,88,8850,No,245,NA
Z13_Dummy,4500,4400,50,950,5,CAMP-D1,80,88,95,4350,No,180,TEST5
Z14_Dummy,3800,3700,45,960,4,CAMP-D2,82,82,94,3650,Yes,160,TEST5
Z15_Dummy,5200,5100,55,940,6,CAMP-D3,78,93,96,5050,No,200,TEST5
