Route_ID,Origin,Dest,Distance_Km,Cases_Transported,Freight_Cost,Return_Empty_Km,Vehicle_Capacity,RepLF,Trips_Per_Month,Idle_Time_Hours,Fuel_Consumed,ActualLF,Cw,FCw,Idlew,OrigFreight,ReturnSurcharge,UnderutilCost,IdleCost,CorrectedFreight
R001,W1,D101,120,420,21000,120,700,60,22,48,520,60.0,9240,462000,1056,21000,7680.0,6144.0,2800.0,37624.0
R002,W1,D102,80,300,16500,80,700,58,20,52,480,42.857142857142854,6000,330000,1040,16500,5120.0,5851.428571428571,3600.0,31071.428571428572
R003,W1,D103,150,500,26000,150,700,72,24,40,610,71.42857142857143,12000,624000,960,26000,9600.0,5485.714285714285,1200.0,42285.71428571428
R004,W2,D104,60,250,15000,60,700,55,18,60,450,35.714285714285715,4500,270000,1080,15000,3840.0,4937.142857142858,5200.0,28977.14285714286
R005,W2,D105,200,520,31000,200,700,75,25,38,680,74.28571428571429,13000,775000,950,31000,12800.0,6582.857142857142,800.0,51182.857142857145
R006,W2,D106,90,310,17500,90,700,60,21,50,510,44.285714285714285,6510,367500,1050,17500,5760.0,6418.285714285715,3200.0,32878.28571428571
R007,W3,D107,140,480,25500,140,700,68,23,45,600,68.57142857142857,11040,586500,1035,25500,8960.0,5632.0,2200.0,42292.0
R008,W3,D108,70,260,15500,70,700,57,19,55,470,37.142857142857146,4940,294500,1045,15500,4480.0,5632.0,4200.0,29812.0
R009,W3,D109,160,510,27000,160,700,73,24,40,620,72.85714285714285,12240,648000,960,27000,10240.0,5558.857142857142,1200.0,43998.857142857145
R010,W4,D110,100,350,20000,100,700,62,22,48,540,50.0,7700,440000,1056,20000,6400.0,6400.0,2800.0,35600.0
R011,W4,D111,180,540,29500,180,700,77,25,35,690,77.14285714285715,13500,737500,875,29500,11520.0,5266.285714285714,200.0,46486.28571428571
R012,W4,D112,75,280,16000,75,700,58,20,52,490,40.0,5600,320000,1040,16000,4800.0,5760.0,3600.0,30160.0
R013,W5,D113,130,460,24500,130,700,66,23,46,580,65.71428571428571,10580,563500,1058,24500,8320.0,5705.142857142857,2400.0,40925.142857142855
R014,W5,D114,85,300,17000,85,700,60,21,50,510,42.857142857142854,6300,357000,1050,17000,5440.0,6217.142857142857,3200.0,31857.142857142855
R015,W5,D115,170,530,28500,170,700,74,25,38,670,75.71428571428571,13250,712500,950,28500,10880.0,5284.571428571428,800.0,45464.57142857143
R016,W6,D116,110,390,21000,110,700,63,22,47,550,55.714285714285715,8580,462000,1034,21000,7040.0,6235.428571428572,2600.0,36875.42857142857
R017,W6,D117,95,320,18000,95,700,61,21,49,530,45.714285714285715,6720,378000,1029,18000,6080.0,6601.142857142857,3000.0,33681.142857142855
R018,W6,D118,190,550,30500,190,700,78,25,34,700,78.57142857142857,13750,762500,850,30500,12160.0,5211.428571428572,0.0,47871.42857142857
R019,W1,D119,65,240,15000,65,700,56,19,58,460,34.285714285714285,4560,285000,1102,15000,4160.0,5467.428571428572,4800.0,29427.428571428572
R020,W2,D120,155,500,26500,155,700,72,24,41,610,71.42857142857143,12000,636000,984,26500,9920.0,5668.571428571428,1400.0,43488.57142857143
R021,W3,D121,105,360,20500,105,700,64,22,46,560,51.42857142857142,7920,451000,1012,20500,6720.0,6528.0,2400.0,36148.0
R022,W4,D122,175,520,29000,175,700,75,25,38,680,74.28571428571429,13000,725000,950,29000,11200.0,5759.999999999999,800.0,46760.0
R023,W5,D123,90,310,17500,90,700,60,21,50,520,44.285714285714285,6510,367500,1050,17500,5760.0,6418.285714285715,3200.0,32878.28571428571
R024,W6,D124,145,470,25000,145,700,70,23,44,600,67.14285714285714,10810,575000,1012,25000,9280.0,6098.285714285715,2000.0,42378.28571428572
R025,W1,D125,60,230,14500,60,700,55,18,60,450,32.857142857142854,4140,261000,1080,14500,3840.0,5156.571428571428,5200.0,28696.571428571428
R026,W2,D126,185,540,30000,185,700,76,25,36,690,77.14285714285715,13500,750000,900,30000,11840.0,5412.571428571428,400.0,47652.57142857143
R027,W3,D127,75,260,15500,75,700,58,20,52,480,37.142857142857146,5200,310000,1040,15500,4800.0,6034.285714285714,3600.0,29934.285714285714
R028,W4,D128,165,510,27500,165,700,73,24,40,620,72.85714285714285,12240,660000,960,27500,10560.0,5732.571428571428,1200.0,44992.57142857143
R029,W5,D129,95,300,17000,95,700,60,21,50,510,42.857142857142854,6300,357000,1050,17000,6080.0,6948.571428571428,3200.0,33228.57142857143
R030,W6,D130,135,450,24000,135,700,68,23,45,590,64.28571428571429,10350,552000,1035,24000,8640.0,6171.428571428572,2200.0,41011.42857142857
