Merchant_ID,Cohort_Type,Traffic,Orders,Reported_Revenue,Delivered_Orders,RTO_Orders,Realised_Revenue,Repeat_Orders,AOV,Notes
M001,Active,22000,1120,560000,820,300,418200,140,510,Stable conversion
M002,Active,21000,1040,520000,750,290,382500,125,510,High RTO
M003,Active,20000,990,495000,700,290,350000,120,500,Repeat drop
M004,Active,19500,970,485000,700,270,357000,115,510,SLA delays
M005,Active,18500,920,460000,660,260,336600,110,510,Inventory mismatch
M006,Active,17500,860,430000,620,240,303800,105,490,Delayed delivery
M007,Active,16500,810,405000,580,230,284200,100,490,Return spike
M008,Active,15500,760,380000,540,220,270000,95,500,Fulfilment issue
M009,Active,14500,720,360000,520,200,254800,90,490,Ops inefficiency
M010,Active,13500,670,335000,480,190,244800,85,510,Repeat affected
M011,Active,12500,620,310000,450,170,225000,80,500,Partial SLA breach
M012,Active,11500,570,285000,420,150,210000,75,500,Delayed dispatch
M013,Active,10500,520,260000,380,140,193800,70,510,Inventory lag
M014,Active,9500,470,235000,340,130,170000,65,500,Return issues
M015,Active,9000,440,220000,320,120,160000,60,500,Delivery failures
M016,Active,8500,410,205000,300,110,147000,58,490,Repeat drop
M017,Active,8000,390,195000,290,100,145000,55,500,Fulfilment lag
M018,Active,7500,360,180000,270,90,132300,52,490,Ops inefficiency
M019,Active,7000,340,170000,250,90,122500,50,490,Late delivery
M020,Active,6500,310,155000,230,80,112700,48,490,Return spike
M021,Active,18000,890,445000,640,250,332800,108,520,High demand
M022,Active,17000,840,420000,610,230,317200,102,520,Delay issues
M023,Active,16000,790,395000,570,220,296400,98,520,Fulfilment gap
M024,Active,15000,740,370000,530,210,275600,95,520,SLA breaches
M025,Active,14000,690,345000,500,190,255000,90,510,Ops delay
M026,Active,13000,640,320000,460,180,234600,85,510,Return spike
M027,Active,12000,590,295000,430,160,215000,80,500,Delivery lag
M028,Active,11000,540,270000,390,150,198900,75,510,Inventory mismatch
M029,Active,10000,490,245000,360,130,180000,70,500,Repeat drop
M030,Active,9000,440,220000,330,110,168300,68,510,Delayed ops
X031,Inactive,8000,0,0,0,0,0,0,0,Dormant merchant
X032,Test,7000,65,32500,50,15,24500,6,490,Test campaign
X033,Pilot,9000,110,55000,75,35,37500,10,500,Pilot cohort
X034,Legacy,6000,85,42500,60,25,30000,8,500,Old pricing
X035,Inactive,5000,0,0,0,0,0,0,0,No activity
X036,Test,7500,75,37500,55,20,27500,7,500,QA data
X037,Pilot,8500,95,47500,65,30,32500,9,500,Pilot test
X038,Legacy,6500,90,45000,63,27,31500,8,500,Old contract
X039,Inactive,4000,0,0,0,0,0,0,0,Dormant
X040,Test,7800,80,40000,58,22,29000,7,500,Internal QA
X041,Pilot,8800,100,50000,70,30,35000,9,500,Pilot run
X042,Legacy,6800,92,46000,66,26,33000,8,500,Legacy data
X043,Inactive,4500,0,0,0,0,0,0,0,Inactive
X044,Test,7200,70,35000,52,18,26000,6,500,Test run
X045,Pilot,8200,90,45000,63,27,31500,8,500,Pilot expansion
X046,Legacy,6200,88,44000,60,28,30000,7,500,Old model
X047,Inactive,4700,0,0,0,0,0,0,0,No activity
X048,Test,7600,72,36000,53,19,26500,6,500,QA
X049,Pilot,8600,98,49000,68,30,34000,9,500,Pilot test
X050,Legacy,6600,86,43000,62,24,31000,8,500,Legacy pricing
