Route_ID,Origin,Dest,D,C,FC,RE,Cap,LF,N,Idle,Fuel,actualLF
R001,W1,D101,120,420,21000,120,700,60,22,48,520,60.0
R002,W1,D102,80,300,16500,80,700,58,20,52,480,42.857142857142854
R003,W1,D103,150,500,26000,150,700,72,24,40,610,71.42857142857143
R004,W2,D104,60,250,15000,60,700,55,18,60,450,35.714285714285715
R005,W2,D105,200,520,31000,200,700,75,25,38,680,74.28571428571429
R006,W2,D106,90,310,17500,90,700,60,21,50,510,44.285714285714285
R007,W3,D107,140,480,25500,140,700,68,23,45,600,68.57142857142857
R008,W3,D108,70,260,15500,70,700,57,19,55,470,37.142857142857146
R009,W3,D109,160,510,27000,160,700,73,24,40,620,72.85714285714285
R010,W4,D110,100,350,20000,100,700,62,22,48,540,50.0
R011,W4,D111,180,540,29500,180,700,77,25,35,690,77.14285714285715
R012,W4,D112,75,280,16000,75,700,58,20,52,490,40.0
R013,W5,D113,130,460,24500,130,700,66,23,46,580,65.71428571428571
R014,W5,D114,85,300,17000,85,700,60,21,50,510,42.857142857142854
R015,W5,D115,170,530,28500,170,700,74,25,38,670,75.71428571428571
R016,W6,D116,110,390,21000,110,700,63,22,47,550,55.714285714285715
R017,W6,D117,95,320,18000,95,700,61,21,49,530,45.714285714285715
R018,W6,D118,190,550,30500,190,700,78,25,34,700,78.57142857142857
R019,W1,D119,65,240,15000,65,700,56,19,58,460,34.285714285714285
R020,W2,D120,155,500,26500,155,700,72,24,41,610,71.42857142857143
R021,W3,D121,105,360,20500,105,700,64,22,46,560,51.42857142857142
R022,W4,D122,175,520,29000,175,700,75,25,38,680,74.28571428571429
R023,W5,D123,90,310,17500,90,700,60,21,50,520,44.285714285714285
R024,W6,D124,145,470,25000,145,700,70,23,44,600,67.14285714285714
R025,W1,D125,60,230,14500,60,700,55,18,60,450,32.857142857142854
R026,W2,D126,185,540,30000,185,700,76,25,36,690,77.14285714285715
R027,W3,D127,75,260,15500,75,700,58,20,52,480,37.142857142857146
R028,W4,D128,165,510,27500,165,700,73,24,40,620,72.85714285714285
R029,W5,D129,95,300,17000,95,700,60,21,50,510,42.857142857142854
R030,W6,D130,135,450,24000,135,700,68,23,45,590,64.28571428571429
